Category,Agency,Website,Description
"Education, Jobs and unemployment","California Apprenticeship Council
                  (CAC)",https://www.dir.ca.gov/cac/cac.html,"The California Apprenticeship Council sets policy for the Division of Apprenticeship Standards and provides policy advice to the Director of the Department of Industrial Relations. The 17-member council is comprised of six employers, six employees and two public representatives appointed by the governor, plus one representative each of the chancellor of the California community colleges, superintendent of public instruction, and Director of Industrial Relations as administrator of apprenticeship"
,"Arbitration Certification Program
                  (ACP)",https://dca.ca.gov/acp/,The Arbitration Certification Program (ACP) certifies and monitors third-party arbitration programs of participating automobile manufacturers to ensure compliance with California laws and regulations related to new vehicle warranties and manufacturer sponsored arbitration programs. One of the ACP's goals is to promote the use of alternative dispute resolution in lieu of court action and reduce the strain and cost on consumers and the court system.
Housing and real estate,"California Architects Board
                  (CAB)",https://www.cab.ca.gov/,The California Architects Board (CAB) is the regulatory authority for architects and the practice of architecture in the State of California. CAB establishes regulations for examination and licensing of the profession of architecture in California.
Education,"California Arts Council
                  (CAC)",https://arts.ca.gov,The California Arts Council builds public will and resources for the arts; fosters accessible arts initiatives that reflect contributions from all of California’s diverse populations; serves as a thought leader and champion for the arts; and provides relevant programs and services.
State info and laws,"California State Assembly
                  (Assembly)",https://www.assembly.ca.gov/,Welcome to the website of the California State Assembly website.
State info and laws,"California State Athletic Commission
                  (CSAC)",https://www.dca.ca.gov/csac/,"The California State Athletic Commission (CSAC) regulates professional and amateur boxing, kickboxing and mixed martial arts throughout the State by licensing all participants and supervising the events."
Taxes,"California State Auditor
                  (BSA)",https://www.bsa.ca.gov/,"We recognize that the citizens and the government rely on us to ensure the effective and efficient administration and management of public funds and programs. It is our job to help make sure that California government stays one step ahead. As the State's independent external auditor, we provide nonpartisan, accurate, and timely assessments of California government's financial and operational activities in compliance with generally accepted government auditing standards."
DMV/Auto,"Bureau of Automotive Repair
                  (BAR)",https://bar.ca.gov/,The Bureau strives to protect and serve California consumers by ensuring a fair and competitive automotive repair marketplace and administering a model motor vehicle emissions reduction program.
Travel and recreation,"Baldwin Hills Conservancy
                  (BHC)",http://bhc.ca.gov/,"The Baldwin Hills Conservancy's mission is to acquire open space and manage public lands within the Baldwin Hills area and to provide recreation, restoration and protection of wildlife habitat within the territory for the public's enjoyment and educational experience."
State info and laws,"State Bar of California
                  (CALBAR)",https://www.calbar.ca.gov/,"Founded in 1927 by the legislature, the State Bar of California is an administrative arm of the California Supreme Court. All lawyers practicing in California must be members of the State Bar."
,"Board of Barbering and Cosmetology
                  (BBC)",https://www.barbercosmo.ca.gov/,"BBC's responsibilities are protecting and educating consumers who seek barbering, cosmetology, and electrology services. BBC also regulates the individuals who provide the services and the salons in which the services are performed."
,"Board of Behavioral Sciences
                  (BBS)",https://www.bbs.ca.gov/,"The Board of Behavioral Sciences is a California state regulatory agency responsible for licensing, examination, and enforcement of: Licensed Marriage and Family Therapists (LMFT), Licensed Clinical Social Workers (LCSW), Licensed Educational Psychologists (LEP), Licensed Professional Clinical Counselors (LPCC), Associate Clinical Social Workers (ASW), Professional Clinical Counselor Interns (PCCI),  Continuing Education Providers (PCE), and  MFT Referral Services (MRF)."
State info and laws,"California Biodiversity Council
                  (CBC)",https://resources.ca.gov/Initiatives/Protecting-Biodiversity/California-Biodiversity-Council,"The California Biodiversity Council (CBC) was formed in 1991 to improve coordination and cooperation between the various resource management and environmental protection organizations at federal, state, and local levels."
"DMV/Auto, Travel and recreation","California Boating and Waterways Commission
                  (DBW-Com)",https://dbw.parks.ca.gov/?page_id=28835,The Boating and Waterways Commission (Commission) is mandated by the Harbors and Navigation Code (HNC) to advise and comment to the California State Parks Division of Boating and Waterways on all matters within its jurisdiction. The Commission must also advise and comment on all boating facilities loans and grants proposed by the division. The Commission is composed of seven members appointed by the Governor and confirmed by the State Senate. Each commissioner's term runs for four years.
Housing and real estate,"California Building Standards Commission
                  (CBSC)",https://www.dgs.ca.gov/BSC,"The California Building Standards Commission (CBSC) is authorized by California Building Standards Law to administer the many processes related to the development, adoption, approval, publication, and implementation of California's building codes."
Housing and real estate,"Bureau of Real Estate Appraisers
                  (BREA)",http://brea.ca.gov/,"The mission of BREA is to safeguard public trust by promoting professionalism in the real estate appraisal industry through licensing, education, and enforcement. In 1989, Title XI of the federal Financial Institutions Reform, Recovery and Enforcement Act was adopted by congress mandating states to license and certify real estate appraisers who appraise property for federally related transactions. The federal law was enacted as a result of the savings and loan disaster.

In response to the federal mandate, the Real Estate Appraisers Licensing and Certification Law was enacted by the California Legislature in 1990 (AB 527, Chapter 491 of 1990). BREA was established within the Business, Transportation and Housing Agency, and charged with developing and implementing a real estate appraiser licensing and certification program compliant with the federal mandate."
Businesses,"Governor's Office of Business and Economic Development
                  (Go-Biz)",https://www.business.ca.gov/,"The Governor’s Office of Business and Economic Development (GO-Biz) was created by Governor Edmund G. Brown Jr. to serve as California’s single point of contact for economic development and job creation efforts. GO-Biz offers a range of services to business owners including: attraction, retention and expansion services, site selection, permit streamlining, clearing of regulatory hurdles, small business assistance, international trade development, assistance with state government, and much more."
"Businesses, Housing and real estate","California Business, Consumer Services, and Housing Agency
                  (BCSH)",https://www.bcsh.ca.gov/,"The Business, Consumer Services, and Housing Agency assists and educates consumers regarding the licensing, regulation, and enforcement of professionals and businesses in California"
,"California Privacy Protection Agency
                  (CPPA)",https://cppa.ca.gov/,"The CPPA was created in 2020 following the approval of Proposition 24 by California voters. The CPPA is responsible for the implementation and administrative enforcement of the nation’s first comprehensive consumer privacy law, the California Consumer Privacy Act, including as amended by Proposition 24, the California Privacy Rights Act; for promoting public awareness and understanding of the risks, responsibilities, and rights in relation to the collection, use, and disclosure of Californians’ personal information, and for providing guidance to consumers and businesses on complex matters relating to online privacy, cybersecurity, and automated decision-making, among other duties."
Health and wellness,"Cannabis Control Appeals Panel
                  (CCAP)",https://ccap.ca.gov/,"The Cannabis Control Appeals Panel (CCAP) is responsible for appeals of any decision by state cannabis licensing authorities relating to the order of any penalty assessment, issuing, denying, transferring, conditioning, suspending or revoking any license provided under Medical and Adult-Use Cannabis Regulation and Safety Act (MAUCRSA). The Panel consists of five members. Three are appointed by the Governor, one by the Senate Committee on Rules, and one by the Speaker of the Assembly. Each member of the panel must be a resident of a different California county."
Health and wellness,"Department of Cannabis Control
                  (DCC)",https://cannabis.ca.gov/,"The Department of Cannabis Control (DCC) is the California state agency that licenses and regulates cannabis businesses. DCC regulates the growing of cannabis plants, the manufacturing of cannabis products, the transportation and tracking of cannabis goods throughout the state, the sale of cannabis goods, and the labeling of goods sold at retail. It also regulates events where cannabis is sold or used."
Personal records,"Cemetery and Funeral Bureau
                  (CFB)",https://www.cfb.ca.gov/,The Cemetery and Funeral Bureau advocates consumer protection and licensee compliance through proactive education and consistent interpretation and application of the laws governing the death care industry.
"Assistance and social programs, Health and wellness","Center for Data Insights and Innovation
                  (CDII)",https://www.cdii.ca.gov/,"The Center for Data Insights and Innovation (CDII) helps drive insight, accessibility, sharing, and transformation for data across CalHHS and California. Through inter-departmental collaboration, CDII is developing a data driven ecosystem of products and services designed to improve data sharing and analytics processes for Agency."
Safety and emergencies,"Central Valley Flood Protection Board
                  (CVFPB)",http://cvfpb.ca.gov/,"The Central Valley Flood Protection Board (Board) is the regulatory agency charged with overseeing the flood management system in California’s Central Valley – the most flood prone area of the state. Formerly known as the State Reclamation Board, the Board has been in existence for 103 years."
Assistance and social programs,"Department of Child Support Services
                  (DCSS)",https://childsupport.ca.gov/,"In California, child support services are provided to the general public through a network of 47 local child support agencies, operated at the county level. If you have a child or children and are no longer in a relationship with the other parent, talk to us about child support. We help ALL parents navigate the child support process from beginning to end, whether the parents were married or not, live in different states or are even in a different country."
Health and wellness,"Board of Chiropractic Examiners
                  (BCE)",https://www.chiro.ca.gov/,The Board of Chiropractic Examiners (BCE) regulates the chiropractic profession in California
State info and laws,"California Citizens Compensation Commission
                  (CCCC)",http://www.calhr.ca.gov/cccc/pages/home.aspx,"Proposition 112, passed by voters in June 1990, established the Commission to set the salaries and medical, dental, insurance and other similar benefits of Members of the Legislature and the State's other elected officials.

Proposition 1F, passed by voters in May 2009, prevents the Commission from increasing elected officials' salaries during budget deficit years.

The Commission has seven members, appointed by the Governor for six-year terms."
Housing and real estate,"Citizens Redistricting Commission
                  (CRC)",https://wedrawthelines.ca.gov/,"In accordance with the Voters FIRST Act (Act), the California State Auditor randomly selected the first eight members of the first Citizens Redistricting Commission (Commission) on November 18, 2010. These first eight commissioners - three who are Democrats, three who are Republican, and two who are either Decline-to-State or are registered with another party - were part of the 36 eligible applicants that remained in the sub-pools after the legislative leaders, exercised their authority to make strikes and eliminated the names of 24 applicants from the pool of 60 of the most qualified applicants identified on September 23, 2010 by the Auditor’s Applicant Review Panel (Panel). The Panel reviewed and evaluated the applicants based on criteria set forth by the Act approved by voters in November 2008; including relevant analytical skills, the ability to be impartial; and a demonstrated appreciation for California’s diverse demographics and geography."
State info and laws,"Civil Rights Department
                  (CRD)",https://www.calcivilrights.ca.gov/,"The Civil Rights Department is the state agency charged with enforcing California’s civil rights laws. The mission of the CRD is to protect the people of California from unlawful discrimination in employment, housing, businesses, and state-funded programs, and from bias-motivated violence and human trafficking.  The CRD is the largest state civil rights agency in the country. It was established by the Legislature in 1959 as the Division of Fair Employment Practices and was initially part of the Department of Industrial Relations. In 1980, it became an independent department, known as the Department of Fair Employment and Housing (DFEH), and was charged with enforcing California's comprehensive employment, housing, public accommodations, and public service non-discrimination laws, as well as the state's bias-related hate violence law. In 2022, the department's name was changed to the Civil Rights Department to better reflect our mission of enforcing a broad range of civil rights laws."
,"Coachella Valley Mountains Conservancy
                  (CVMC)",http://cvmc.ca.gov/,"The Coachella Valley Mountains Conservancy mission is to protect the natural and cultural resources of the Coachella Valley: the scenic, wildlife, cultural, geologic, and recreational resources that make this such a splendid place for people and all the other life forms with which we share this special place."
,"California Coastal Commission
                  (Coastal)",https://coastal.ca.gov/,The Commission is committed to protecting and enhancing California’s coast and ocean for present and future generations.
,"State Coastal Conservancy
                  (SCC)",https://scc.ca.gov/,"The Coastal Conservancy is a State agency established in 1976 to protect and improve natural lands and waterways, help people get to and enjoy the outdoors, and sustain local economies along the length of California’s coast and around San Francisco Bay."
State info and laws,"Colorado River Board of California
                  (CRB)",http://crb.ca.gov/,"The Colorado River Board represents the State of California and its Members in discussions and negotiations with the Colorado River Basin States, federal, state and local governmental agencies and Mexico regarding the management of the Colorado River."
"Assistance and social programs, Education","California Community Colleges
                  (CCCCO)",https://www.cccco.edu/,"The California Community Colleges is the largest system of higher education in the nation, with 2.1 million students attending 113 colleges. With a wide range of educational offerings, the colleges provide workforce training, basic courses in English and math, certificate and degree programs and preparation for transfer to four-year institutions."
Assistance and social programs,"Department of Community Services and Development
                  (CSD)",https://www.csd.ca.gov/,"CSD partners with a network of private, non-profit and local government community service providers dedicated to helping low-income families achieve and maintain self-sufficiency, meet their home energy needs and reside in housing free from the dangers of lead hazards."
Assistance and social programs,"State Compensation Insurance Fund
                  (SCIF)",https://www.statefundca.com/?WT.svl=5,"Established in 1914 by the state legislature, State Fund has operated for 100 years, is California’s largest provider of workers’ compensation insurance, and a vital asset to California businesses. State Fund supports California’s entrepreneurial spirit and plays a stabilizing role in the economy by providing fairly priced workers’ compensation insurance, making California workplaces safe, and restoring injured workers."
Jobs and unemployment,"California Conservation Corps
                  (CCC)",https://ccc.ca.gov/,"The California Conservation Corps is a state agency that puts together young people and the environment, to the benefit of both."
Travel and recreation,"Department of Conservation
                  (DOC)",https://www.conservation.ca.gov/,"The Department of Conservation provides services and information that promote environmental health, economic vitality, informed land-use decisions and sound management of our state's natural resources."
Housing and real estate,"Department of Consumer Affairs
                  (DCA)",https://dca.ca.gov,The Department of Consumer Affairs (DCA) is here to protect and serve California consumers while ensuring a competent and fair marketplace. DCA helps consumers learn how to protect themselves from unscrupulous and unqualified individuals. The Department also protects professionals from unfair competition by unlicensed practitioners.
Education,"Contractors State License Board
                  (CSLB)",http://www.cslb.ca.gov/,"The Contractors State License Board (CSLB) protects California consumers by licensing and regulating the state's construction industry. CSLB was established in 1929 and today licenses about 290,000 contractors in 44 different license classifications. The Contractors State License Board protects consumers by regulating the construction industry through policies that promote the health, safety, and general welfare of the public in matters relating to construction."
,"State Controller's Office
                  (SCO)",https://sco.ca.gov/,"The Controller is the Chief Fiscal Officer of California, the sixth-largest economy in the world. Elected every four years, the Controller is responsible for accountability and disbursement of the state’s financial resources. The Controller also safeguards many types of property until claimed by the rightful owners, and has independent auditing authority over government agencies that spend state funds. The Controller helps administer two of the nation's largest public pension funds, and serves on 70 state boards and commissions with authority ranging from state public land management to crime victim compensation."
,"Cool California
                  (CoolCal)",https://coolcalifornia.arb.ca.gov/,CoolCalifornia's mission is to provide all Californians with the tools they need to take action to protect the climate and keep California cool. Our partner  organizations seek to empower Californians to improve the State's future and protect its environment.
Safety and emergencies,"California Department of Corrections and Rehabilitation
                  (CDCR)",https://cdcr.ca.gov/,"The California Department of Corrections and Rehabilitation is responsible for the operation of the California state prison and parole systems. We enhance public safety through safe and secure incarceration of offenders, effective parole supervision, and rehabilitative strategies to successfully reintegrate offenders into our communities."
State info and laws,"Court Reporters Board of California
                  (CRB)",https://www.courtreportersboard.ca.gov/,"The mission of the Court Reporters Board is to protect the public health, safety and welfare by ensuring the integrity of judicial records through oversight of the court reporting profession. The CRB carries out this mission by testing, licensing and disciplining court reporters, and by recognizing the schools of court reporting that meet state curriculum standards."
"Safety and emergencies, State info and laws","California Courts
                  (Courts)",https://www.courts.ca.gov/,"The Judiciary of California interprets and applies the law, and is defined under the Constitution, law, and regulations. The judiciary has a hierarchical structure with the Supreme Court at the apex. The Superior Courts are the primary trial courts, and the Courts of Appeal are the primary appellate courts. The Judicial Council is the rule-making arm of the judiciary."
Health and wellness,"Council on Criminal Justice and Behavioral Health
                  (CCJBH)",https://www.cdcr.ca.gov/ccjbh/,"A true shift in the paradigm between criminal justice and mental health will embody an effective jail diversion system that fosters an ongoing and successful exchange of information among courts, criminal justice agencies, mental health professionals, government and non-government organizations to achieve a substantial positive change in the way individuals with mental illness are treated in our communities."
,"Office of Data and Innovation
                  (ODI)",https://innovation.ca.gov/,"The Office of Data and Innovation works collaboratively with state agencies to improve services for Californians. We use data, human-centered design training, and technology to create services that are easier for everyone to use. Our work uses qualitative and quantitative user research and puts Californians at the heart of service design. The Statewide Chief Data Officer and CalAcademy are housed within ODI."
Education,"California Debt and Investment Advisory Commission
                  (CDIAC)",https://www.treasurer.ca.gov/cdiac/,"The California Debt and Investment Advisory Commission (CDIAC) provides information, education and technical assistance on debt issuance and the investment of public funds to state and local public agencies and other public finance professionals."
Housing and real estate,"California Debt Limit Allocation Committee
                  (CDLAC)",https://www.treasurer.ca.gov/cdlac/,"Federal law limits how much tax-exempt debt a state can issue in a calendar year for private projects that have a qualified public benefit. This cap is determined by a population-based formula. CDLAC was created to set and allocate California’s annual debt ceiling, and administer the State’s tax-exempt bond program to issue the debt."
Travel and recreation,"Delta Protection Commission
                  (DPC)",http://delta.ca.gov/,"We protect, maintain, enhance and enrich the overall quality of the Delta environment and economy. We do this with a focus on Agriculture, Recreation and Natural Resources, while remaining mindful of the importance of the Delta to all Californians."
Travel and recreation,"Delta Stewardship Council
                  (Deltacounc)",http://deltacouncil.ca.gov,"The mission of the Delta Stewardship Council is to achieve the coequal goals. As stated in the CA Water code, “‘Coequal goals’ means the two goals of providing a more reliable water supply for California and protecting, restoring, and enhancing the Delta ecosystem. The coequal goals shall be achieved in a manner that protects and enhances the unique cultural, recreational, natural resource, and agricultural values of the Delta as an evolving place.” (CA Water Code SS 85054)"
Health and wellness,"Dental Board of California
                  (DBC)",https://www.dbc.ca.gov/index.shtml,The Dental Board of California license and regulate dentist and dental assistants.  Their mission is to protect and promote the health and safety of consumers of the State of California.
Health and wellness,"Dental Hygiene Board of California
                  (DHBC)",https://www.dhbc.ca.gov/,"The responsibilities of DHBC include issuing, reviewing, and enforcing dental hygiene licenses as well as developing the Law and Ethics examinations. Additional functions include promulgating regulations, establishing and maintaining fees, oversight and approval of dental hygiene educational programs, and continuing education requirements for all dental hygiene licensure categories."
"Assistance and social programs, Health and wellness","State Council on Developmental Disabilities
                  (SCDD)",https://scdd.ca.gov/,The State Council on Developmental Disabilities (SCDD) is established by state and federal law as an independent state agency to ensure that people with developmental disabilities and their families receive the services and supports they need.
"Assistance and social programs, Health and wellness","Department of Developmental Services
                  (DDS)",https://www.dds.ca.gov,The California Department of Developmental Services is the agency through which the State of California provides services and supports to individuals with developmental disabilities.
"Assistance and social programs, Health and wellness, Jobs and unemployment","California Commission on Disability Access
                  (CCDA)",https://www.dgs.ca.gov/ccda,"The mission of the California Commission on Disability Access (CCDA) is to promote disability access in California through dialogue and collaboration with stakeholders including, but not limited to, the disability and business communities as well as all levels of government."
"Assistance and social programs, Jobs and unemployment","Disabled Veterans Business Enterprise Advisory Council
                  (DVBE)",https://www.calvet.ca.gov/VetServices/Pages/DVBE-Council.aspx,"The State of California established the Disabled Veteran Business Enterprise (DVBE) Program in 1989 under Public Contract Code 10115 to primarily help DVBEs compete more effectively for a portion of those dollars, and to promote self-reliance for California's disabled veterans by offering veterans the opportunity to gain experience in business, while sharing their expertise with the citizens of California and provide a goal of awarding 3% of all state contracts to certified DVBEs."
Safety and emergencies,"California Earthquake Authority
                  (CEA)",https://www.earthquakeauthority.com/,"The California Earthquake Authority is a publicly managed, privately funded, not-for-profit organization that provides residential earthquake insurance and encourages Californians to reduce their risk of earthquake damage and loss."
"Assistance and social programs, Education","California Department of Education
                  (CDE)",https://www.cde.ca.gov/,"California will provide a world-class education for all students, from early childhood to adulthood. The Department of Education serves our state by innovating and collaborating with educators, schools, parents, and community partners."
"Education, Jobs and unemployment, State info and laws","California State Board of Education
                  (SBE)",https://www.cde.ca.gov/be/,"The Board is the K-12 policy-making body for academic standards, curriculum, instructional materials, assessments & accountability. The SBE adopts instructional materials for use in grades kindergarten through eight. The SBE also adopts regulations (Title 5) to implement a wide variety of programs created by the Legislature, such as charter schools, and special education."
Education,"California Educational Facilities Authority
                  (CEFA)",https://www.treasurer.ca.gov/cefa/,"CEFA was created for the purpose of issuing revenue bonds to assist private non-profit institutions of higher learning, in the expansion and construction of educational facilities. Because it is authorized to issue tax-exempt bonds, the Authority may provide more favorable financing to such private institutions than might otherwise be obtainable."
Safety and emergencies,"Emergency Medical Services Authority
                  (EMSA)",https://emsa.ca.gov,"The EMS Authority is charged with providing leadership in developing and implementing EMS systems throughout California and setting standards for the training and scope of practice of various levels of EMS personnel. The EMS Authority also has responsibility for promoting disaster medical preparedness throughout the state, and, when required, coordinating and supporting the state's medical response to major disasters."
Safety and emergencies,"Governor's Office of Emergency Services
                  (Cal OES)",https://www.caloes.ca.gov/,"With over 38 million residents (12% of the population), the State of California is the most populous state in the nation and has the third largest land area among the states (163,695 square miles). California is culturally, ethnically, economically, ecologically, and politically diverse, and maintains the eighth largest economy in the world with 13 percent of the U.S. gross domestic product. California also faces numerous risks and threats to our people, property, economy, environment and is prone to earthquakes, floods, significant wildfires, prolonged drought impacts, public health emergencies, cybersecurity attacks, agricultural and animal disasters, as well threats to homeland security."
"Assistance and social programs, Jobs and unemployment, Taxes","Employment Development Department
                  (EDD)",https://edd.ca.gov,"The Employment Development Department (EDD) is one of the largest state departments with employees at hundreds of service locations throughout the state. For more than 70 years, we have connected millions of job seekers and employers in an effort to build the economy of the Golden State."
Jobs and unemployment,"Employment Training Panel
                  (ETP)",https://etp.ca.gov,"The Employment Training Panel (ETP) provides funding to employers to assist in upgrading the skills of their workers through training that leads to good paying, long-term jobs."
State info and laws,"California Energy Commission
                  (CEC)",https://www.energy.ca.gov/,"The California Energy Commission is leading the state to a 100 percent clean energy future. It has seven core responsibilities: developing renewable energy, transforming transportation, increasing energy efficiency, investing in energy innovation, advancing state energy policy, certifying thermal power plants, and preparing for energy emergencies."
Safety and emergencies,"Office of Energy Infrastructure Safety
                  (OEIS)",https://energysafety.ca.gov/,The Office of Energy Infrastructure Safety is separate department under the California Natural Resources Agency dedicated to reducing utility-related wildfire risk. Our critical mission is to advance long-term wildfire safety.
,"Board of Professional Engineers, Land Surveyors, and Geologists
                  (BPELSG)",https://www.bpelsg.ca.gov/,We protect the public's safety and property by promoting standards for competence and integrity through licensing and regulating the Board's professions.
Health and wellness,"Office of Environmental Health Hazard Assessment
                  (OEHHA)",https://oehha.ca.gov/,Our overall mission is to protect and enhance public health and the environment by scientific evaluation of risks posed by hazardous substances.
Safety and emergencies,"Environmental Protection Agency
                  (CALEPA)",https://calepa.ca.gov/,"Our mission is to restore, protect and enhance the environment, to ensure public health, environmental quality and economic vitality. We fulfill our mission by developing, implementing and enforcing environmental laws that regulate air, water and soil quality, pesticide use and waste recycling and reduction. Our departments are at the forefront of environmental science, using the most recent research to shape the state’s environmental laws. The Office of the Secretary heads CalEPA overseeing and coordinating the activities of one office, two boards, and three departments dedicated to improving California’s environment while advancing justice and equity."
State info and laws,"Board of Equalization
                  (BOE)",https://www.boe.ca.gov/,"The Board of Equalization is responsible for reviewing, equalizing, or adjusting property tax assessments, assessing taxes on insurers, and assessing/collecting excise taxes on alcoholic beverages. It also acts as the appellate body for corporate franchise and personal income tax appeals."
Travel and recreation,"California Exposition and State Fair
                  (CAL EXPO)",https://calexpostatefair.com,"Cal Expo is home to the California State Fair and plays host to hundreds of other signature events each year. Featuring 350 beautifully landscaped acres, Cal Expo was initiated by Governor Pat Brown and opened by Governor Ronald Reagan in 1968. The current Cal Expo facilities were dedicated as a place to celebrate California’s achievements, agriculture, diversity of its people, traditions and trends that will shape the Golden State’s future."
State info and laws,"Fair Political Practices Commission
                  (FPPC)",http://www.fppc.ca.gov/,"The Fair Political Practices Commission is a five-member independent, non-partisan commission that has primary responsibility for the impartial and effective administration of the Political Reform Act. The Act regulates campaign financing, conflicts of interest, lobbying, and governmental ethics. The Commission's objectives are to ensure that public officials act in a fair and unbiased manner in the governmental decision-making process, to promote transparency in government, and to foster public trust in the political system."
State info and laws,"Department of FI$Cal
                  (FI$Cal)",https://fiscal.ca.gov/,"The Department of FISCal's (FI$Cal) core mission is to operate the FI$Cal system, the statewide financial management system that enables California state entities to perform budgeting, procurement, cash management and accounting functions transparently and efficiently. The FI$Cal system is among the largest financial public sector information technology systems in the world, replacing hundreds of legacy systems statewide."
"Businesses, Travel and recreation","California Film Commission
                  (CFC)",https://film.ca.gov/,"The California Film Commission (CFC) enhances California's status as the leader in motion picture, television and commercial production. A one-stop office for filmmakers, the Commission supports productions of all sizes and budgets. Services include film and TV tax credits, an extensive digital location library, free online permitting, low cost use of state properties as shooting locations, and production assistance."
"Businesses, State info and laws","Department of Finance
                  (DOF)",https://dof.ca.gov/,"The Strategic Plan of the Department of Finance provides a road map for our organization so that we may better serve as the statewide leader for budget and fiscal policy. The Plan will help Finance realize its mission by focusing on commitments in the following three areas: Leadership, Workforce, and Accountability.."
,"Department of Financial Protection and Innovation
                  (DFPI)",https://dfpi.ca.gov/,"The Department of Financial Protection and Innovation (DFPI) provides protection to consumers and services to businesses engaged in financial transactions. The Department regulates a variety of financial services, products and professionals. The Department oversees the operations of state-licensed financial institutions, including banks, credit unions, money transmitters, issuers of payment instruments and travelers checks, and premium finance companies. Additionally, the Department licenses and regulates a variety of financial businesses, including securities brokers and dealers, investment advisers, deferred deposit (commonly known as payday loans) and certain fiduciaries and lenders. The Department regulates the offer and sale of securities, franchises and off-exchange commodities."
Businesses,"California Financing Coordinating Committee
                  (CFCC)",https://www.cfcc.ca.gov/,The California Financing Coordinating Committee (CFCC) was formed in 1998 and is made up of six funding agencies: four state and two federal. CFCC members facilitate and expedite the completion of various types of infrastructure projects by helping customers combine the resources of several agencies.
