Category,Agency,Website,Description
Business,"Liquor Authority, Division of Alcoholic Beverage Control",https://www.ny.gov/agencies/liquor-authority-division-alcoholic-beverage-control,"The Division of Alcoholic Beverage Control operates under the direction of the State Liquor Authority, a three-member Board consisting of a Chairperson, who acts as the agency administrator, and two Commissioners, appointed by the Governor with the..."
Transportation and Utilities,Metropolitan Transportation Authority,https://www.ny.gov/agencies/metropolitan-transportation-authority,"MTA operating agencies include New York City Transit, Long Island Rail Road, Metro-North Railroad, Staten Island Railroad, MTA Bridges and Tunnels, MTA Capital Construction, and MTA Bus."
"Administration, Transportation and Utilities",MTA Inspector General,https://www.ny.gov/agencies/mta-inspector-general,"The MTA preserves and enhances the quality of life and economic health of the region we serve through the cost-efficient provision of safe, on-time, reliable and clean transportation services."
Statewide Elected Officials,New York Assembly,https://www.ny.gov/agencies/new-york-assembly,"The New York State Assembly is the lower house of the State Legislature. It’s composed of 150 members, each representing a district with an average population of 128,652."
Business,New York State Insurance Fund,https://www.ny.gov/agencies/new-york-state-insurance-fund,"NYSIF provides workers’ compensation and disability benefits insurance to businesses operating in New York State, covering eligible workers injured on- and off-the-job."
Administration,New York State Law Revision Commission,https://www.ny.gov/agencies/new-york-state-law-revision-commission,The Commission examines State laws and current judicial decisions for the purpose of discovering defects and anachronisms in the law and recommending needed reforms.
Statewide Elected Officials,New York State Senate,https://www.ny.gov/agencies/new-york-state-senate,The New York State Senate is the upper house in the State Legislature. It currently has 63 members each elected to two-year terms without term limits.
Local and Regional Authorities,NYC 311,https://www.ny.gov/agencies/nyc-311,"311 is New York City’s main source of government information and non-emergency services. Whether you’re a resident, a business owner, or a visitor, help is just a click, text or call away. Website: nyc.gov/311"
Business,Office for New Americans,https://www.ny.gov/agencies/office-new-americans,The Office for New Americans (ONA) assists newcomers in New York State who are eager to contribute to our economy and become part of the family of New York.
Health and Human Services,Office for People With Developmental Disabilities,https://www.ny.gov/agencies/office-people-developmental-disabilities,The Office for People with Developmental Disabilities assists people with developmental disabilities and their families in gaining access to high-quality services and supports tailored to each person’s unique needs.
Health and Human Services,Office for the Aging,https://www.ny.gov/agencies/office-aging,"The mission of the New York State Office for the Aging (NYSOFA) is to help older New Yorkers be as independent as possible for as long as possible through advocacy, development and delivery of person-centered, consumer-oriented, and cost-effective..."
Public Safety,Office for the Prevention of Domestic Violence,https://www.ny.gov/agencies/office-prevention-domestic-violence,The Office for the Prevention of Domestic Violence (OPDV) is the country’s only executive level state agency dedicated to the issue of domestic violence.
Health and Human Services,Office of Addiction Services and Supports,https://www.ny.gov/agencies/office-addiction-services-and-supports,"OASAS oversees one of the nation’s largest addiction services systems with nearly 1,600 prevention, treatment and recovery programs. OASAS chemical dependence treatment programs assist about 100,000 people a day and about 240,000 individuals every..."
Statewide Elected Officials,Office of Attorney General,https://www.ny.gov/agencies/office-attorney-general,N/A
"Health and Human Services, Business",Office of Cannabis Management,https://www.ny.gov/agencies/office-cannabis-management,"The Marijuana Regulation and Taxation Act creates a first in the nation comprehensive regulatory structure to oversee the licensure, cultivation, production, distribution, sale and taxation of medical, adult-use and cannabinoid hemp within New York..."
Health and Human Services,Office of Children and Family Services,https://www.ny.gov/agencies/office-children-and-family-services,The Office of Children and Family Services serves New York's public by promoting the safety and well-being of our children and families.
Public Safety,Office of Counter Terrorism,https://www.ny.gov/agencies/office-counter-terrorism,OCT works closely with the New York State Police and other law enforcement and public safety agencies in the fight against terrorism.
Public Safety,Office of Emergency Management,https://www.ny.gov/agencies/office-emergency-management,"Office of Emergency management coordinates the activities of all State agencies to protect New York's communities, the State's economic well-being, and the environment from natural and man-made disasters and emergencies."
Administration,Office of Employee Relations,https://www.ny.gov/agencies/office-employee-relations,OER represents the Governor in negotiating collective bargaining agreements. OER also administers a variety of programs for the State workforce.
Public Safety,Office of Fire Prevention and Control,https://www.ny.gov/agencies/office-fire-prevention-and-control,"OFPC advances public safety through firefighter training, education, fire prevention, investigative, special operations and technical rescue programs."
Administration,Office of General Services,https://www.ny.gov/agencies/office-general-services,"OGS streamlines government by managing real estate, business services, design, construction, and more for agencies. Our procurement services help the state, towns and others buy smarter."
Administration,Office of Information Technology Services,https://www.ny.gov/agencies/office-information-technology-services,"ITS provides centralized IT services to the State and its governmental entities with the awareness that our citizens are reliant on those services. At ITS, we also set statewide technology policy for all state government agencies and monitor all..."
Public Safety,Office of Interoperable and Emergency Communications (OIEC),https://www.ny.gov/agencies/office-interoperable-and-emergency-communications-oiec,"Directs interoperable & emergency communications, & implementation of all aspects of interoperable & emergency communications including land & mobile radio communications."
Health and Human Services,Office of Mental Health,https://www.ny.gov/agencies/office-mental-health,"The New York State Office of Mental Health promotes the mental health and well-being of all New Yorkers. Our mission is to facilitate recovery for young to older adults receiving treatment for serious mental illness, to support children and families..."
Recreation and Environment,"Office of Parks, Recreation and Historic Preservation",https://www.ny.gov/agencies/office-parks-recreation-and-historic-preservation,"The Office of Parks, Recreation and Historic Preservation is responsible for the operation and stewardship of the state parks system, as well as advancing a statewide parks, historic preservation, recreational, and open space mission. Drawing on..."
Statewide Elected Officials,Office of State Comptroller,https://www.ny.gov/agencies/office-state-comptroller,New York State Comptroller Thomas P. DiNapoli is the State's chief fiscal officer who ensures that State and local governments use taxpayer money effectively and efficiently to promote the common good.
Health and Human Services,Office of Temporary and Disability Assistance,https://www.ny.gov/agencies/office-temporary-and-disability-assistance,"To help vulnerable New Yorkers meet their essential needs and advance economically by providing opportunities for stable employment, housing, and nutrition."
Statewide Elected Officials,Office of the Governor,https://www.ny.gov/agencies/office-governor,Governor Kathy Hochul is the 57 th and first female Governor of New York State.
Administration,Office of the Inspector General,https://www.ny.gov/agencies/office-inspector-general,"The Inspector General's Office ensures that NYS government, its employees and those working with the state meet high standards of honesty, accountability, and efficiency."
Administration,Office of the Medicaid Inspector General,https://www.ny.gov/agencies/office-medicaid-inspector-general,"Our Mission: To enhance the integrity of the New York State Medicaid program by preventing and detecting fraudulent, abusive, and wasteful practices within the Medicaid program,"
Public Safety,Office of Victim Services,https://www.ny.gov/agencies/office-victim-services,The Office of Victim Services provides a safety net for individuals and their families who have been victimized through no fault of their own and have no other means of assistance. OVS also funds programs providing direct services to crime victims.
Recreation and Environment,Olympic Regional Development Authority,https://www.ny.gov/agencies/olympic-regional-development-authority,"(ORDA) was originally created by the State of New York to manage the facilities used during the 1980 Olympic Winter Games at Lake Placid. Today, ORDA operates Whiteface Mountain ski area; Gore Mountain ski area; Belleayre Mountain; as well as the..."
Transportation and Utilities,Port Authority of New York and New Jersey,https://www.ny.gov/agencies/port-authority-new-york-and-new-jersey,"The Port Authority of New York and New Jersey builds, operates, and maintains many of the most important transportation and infrastructure assets in the country. The agency’s network of aviation, rail, surface transportation, and seaport facilities..."
Transportation and Utilities,Power Authority,https://www.ny.gov/agencies/power-authority,"The NY Power Authority (NYPA) is the nation's largest state power organization, serving government, not-for-profit, and business customers."
Local and Regional Authorities,Roosevelt Island Operating Corporation of the State of New York (RIOC),https://www.ny.gov/agencies/roosevelt-island-operating-corporation-state-new-york-rioc,"RIOC is a public-benefit corporation responsible for developing Roosevelt Island, a small strip of land in the East River, part of the borough of Manhattan."
Recreation and Environment,South Shore Estuary Council,https://www.ny.gov/agencies/south-shore-estuary-council,The South Shore Estuary Reserve was formed by the State Legislature at the urging of Long Islanders concerned with the long-term health of the Estuary.
Administration,State Employees Federated Appeal (SEFA),https://www.ny.gov/agencies/state-employees-federated-appeal-sefa,"SEFA is a charitable solicitation of New York state employees, where they contribute to charitable organizations through payroll deduction."
Education,State University Construction Fund,https://www.ny.gov/agencies/state-university-construction-fund,"The Fund provides the means for the construction of academic buildings, dormitories and other facilities for the State-operated institutions."
Education,State University of New York (SUNY),https://www.ny.gov/agencies/state-university-new-york-suny,"The State University of New York is the largest comprehensive university system in the United States, educating nearly 460,000 students on 64 college and university campuses and online through Open SUNY."
Administration,Teachers' Retirement System,https://www.ny.gov/agencies/teachers-retirement-system,"NYSTRS administers a defined benefit plan that provides retirement, disability and death benefits to eligible New York State public school teachers and administrators."
Transportation and Utilities,Thruway Authority,https://www.ny.gov/agencies/thruway-authority,The New York State Thruway is one of the longest toll roads in the nation and is a vital commercial link for New York’s largest cities and for the entire Northeast.
Business,Workers Compensation Board,https://www.ny.gov/agencies/workers-compensation-board,"The New York State Workers' Compensation Board protects the rights of employees and employers by ensuring the proper delivery of benefits to those who are injured or ill, and by promoting compliance with the law."
